"RGB Hex","RGB Hex3","HSL","RGB","HTML Keyword"
"#8f8c4a","#995","hsl(57,31,42)","rgb(143,140,74)","olivedrab"
"#8e8f57","#995","hsl(61,24,45)","rgb(142,143,87)","gray"
"#8b9058","#996","hsl(65,24,45)","rgb(139,144,88)","gray"
"#88915c","#996","hsl(70,22,46)","rgb(136,145,92)","gray"
"#859360","#896","hsl(76,20,47)","rgb(133,147,96)","gray"
"#809262","#896","hsl(82,19,47)","rgb(128,146,98)","gray"
"#7e9566","#896","hsl(89,18,49)","rgb(126,149,102)","gray"
"#7e9568","#897","hsl(90,17,49)","rgb(126,149,104)","gray"
"#78966a","#897","hsl(100,17,50)","rgb(120,150,106)","gray"
"#75966c","#797","hsl(107,16,50)","rgb(117,150,108)","gray"
"#71986d","#7a7","hsl(114,17,51)","rgb(113,152,109)","gray"
"#6a9871","#7a7","hsl(129,18,50)","rgb(106,152,113)","gray"
"#699973","#7a7","hsl(132,19,50)","rgb(105,153,115)","gray"
"#699a77","#7a7","hsl(137,19,50)","rgb(105,154,119)","gray"
"#609877","#6a7","hsl(144,22,48)","rgb(96,152,119)","slategray"
"#5a947a","#698","hsl(153,24,46)","rgb(90,148,122)","slategray"
"#5b967e","#698","hsl(155,24,47)","rgb(91,150,126)","cadetblue"
"#589681","#698","hsl(159,26,46)","rgb(88,150,129)","cadetblue"
"#599784","#698","hsl(161,25,47)","rgb(89,151,132)","cadetblue"
"#559685","#598","hsl(164,27,46)","rgb(85,150,133)","cadetblue"
"#549988","#5a9","hsl(165,29,46)","rgb(84,153,136)","cadetblue"
"#549789","#599","hsl(167,28,46)","rgb(84,151,137)","cadetblue"
